comparison,class_name,n,changed_rate
B/A,barrier,2680,0.0
B/A,bicycle,214,0.0
B/A,bus,289,0.07958477508650519
B/A,car,9542,0.0
B/A,construction_vehicle,257,0.007782101167315175
B/A,motorcycle,207,0.0
B/A,pedestrian,4397,0.0
B/A,traffic_cone,1686,0.0
B/A,trailer,408,0.024509803921568627
B/A,truck,1430,0.007692307692307693
C/A,barrier,2680,1.0
C/A,bicycle,214,1.0
C/A,bus,289,0.42214532871972316
C/A,car,9542,0.9901488157618947
C/A,construction_vehicle,257,0.4980544747081712
C/A,motorcycle,207,1.0
C/A,pedestrian,4397,1.0
C/A,traffic_cone,1686,1.0
C/A,trailer,408,0.7156862745098039
C/A,truck,1430,0.5076923076923077
D/A,barrier,2680,1.0
D/A,bicycle,214,1.0
D/A,bus,289,0.42214532871972316
D/A,car,9542,0.9722280444351289
D/A,construction_vehicle,257,0.4980544747081712
D/A,motorcycle,207,1.0
D/A,pedestrian,4397,1.0
D/A,traffic_cone,1686,1.0
D/A,trailer,408,0.7156862745098039
D/A,truck,1430,0.4762237762237762
D/B,barrier,2680,1.0
D/B,bicycle,214,1.0
D/B,bus,289,0.5017301038062284
D/B,car,9542,0.9722280444351289
D/B,construction_vehicle,257,0.5058365758754864
D/B,motorcycle,207,1.0
D/B,pedestrian,4397,1.0
D/B,traffic_cone,1686,1.0
D/B,trailer,408,0.7352941176470589
D/B,truck,1430,0.48391608391608393
D/C,barrier,2680,0.0
D/C,bicycle,214,0.0
D/C,bus,289,0.0
D/C,car,9542,0.017920771326765877
D/C,construction_vehicle,257,0.0
D/C,motorcycle,207,0.0
D/C,pedestrian,4397,0.0
D/C,traffic_cone,1686,0.0
D/C,trailer,408,0.0
D/C,truck,1430,0.03146853146853147
