comparison,level,n,changed_rate,relative_l1,normalized_l1
B/A,64,1019,0.04317958783120707,0.003736722631054593,0.0053565589554783345
B/A,128,1019,0.04317958783120707,0.0037224617369940927,0.0055076177428468286
C/A,64,1019,1.0,0.5699527345678173,0.5522940068179422
C/A,128,1019,1.0,0.5704036584750943,0.7582551053742548
D/A,64,1019,1.0,0.5616761171080764,0.5507714160525179
D/A,128,1019,1.0,0.5622124877686121,0.7560977397360441
D/B,64,1019,1.0,0.5633311958670967,0.5500881887160761
D/B,128,1019,1.0,0.5638897465331748,0.7553500794861338
D/C,64,1019,0.17958783120706576,0.020465639341253353,0.0285484860180507
D/C,128,1019,0.17958783120706576,0.020007549035632517,0.03064259122033495
