_step,epoch,action_dit_loss,learning_rate/base,learning_rate/pi05_model.paligemma_with_expert.gemma_expert,timing/data,timing/model,rtc_postfix_count,_runtime,_timestamp
10,0,0.022992681711912155,1.0000000000000001e-07,5.000000000000001e-07,0.0002575259999844093,0.7468596670000238,111,16.916403894,1786042061.0867941
20,0,0.034037068486213684,2.0000000000000002e-07,1.0000000000000002e-06,0.0002691400000003341,0.6919083320000254,109,24.772847314,1786042068.2530363
30,0,0.024838756769895554,3.0000000000000004e-07,1.5e-06,0.0002227460000199244,0.7077767879999897,117,32.347306447,1786042076.1094227
40,0,0.03016776591539383,4.0000000000000003e-07,2.0000000000000003e-06,0.00024154499999440304,0.6868158099999846,110,39.494192726,1786042083.6838672
50,0.01,0.02949884720146656,5.000000000000001e-07,2.5e-06,0.00025312399998256296,0.7102931680000211,111,47.02126374,1786042090.8307774
60,0.01,0.009575789794325829,6.000000000000001e-07,3e-06,0.0002463119999447372,0.9672932490000221,111,54.36303288,1786042098.3579576
70,0.01,0.012001308612525463,7.000000000000001e-07,3.5000000000000004e-06,0.0002489599999080383,0.6937584109999761,109,61.805228911,1786042105.6996217
80,0.01,0.016025030985474586,8.000000000000001e-07,4.000000000000001e-06,0.00027629800001705007,0.7462955790000478,109,69.038617884,1786042113.141839
90,0.01,0.022087018936872482,9.000000000000001e-07,4.5e-06,0.0002523670000300626,0.7720692000000327,115,76.254978944,1786042120.3751733
100,0.01,0.008397743105888367,1.0000000000000002e-06,5e-06,0.0003307050000103118,0.6962129730000015,112,84.319989855,1786042127.5917363
110,0.01,0.016736416146159172,1.1e-06,5.500000000000001e-06,0.00024662699991040427,0.6989434539999593,111,91.661574016,1786042135.6565769
120,0.01,0.013915306888520718,1.2000000000000002e-06,6e-06,0.00025906500002292887,0.7246632420000196,107,98.739776617,1786042142.9980905
130,0.01,0.0055620200000703335,1.3e-06,6.5000000000000004e-06,0.00022820800006684294,0.7564090939999915,104,106.190794224,1786042150.0762522
140,0.02,0.004077950492501259,1.4000000000000001e-06,7.000000000000001e-06,0.00027615399994829204,0.9043937400000459,116,113.509205212,1786042157.5273361
150,0.02,0.0073920926079154015,1.5e-06,7.5e-06,0.0005125840000346216,0.7241653620000079,116,120.982564506,1786042164.8458385
160,0.02,0.010636324994266033,1.6000000000000001e-06,8.000000000000001e-06,0.0002588930000229084,0.713389642999914,106,128.319976123,1786042172.3191268
170,0.02,0.016737449914216995,1.7000000000000002e-06,8.500000000000002e-06,0.00024385400001847302,0.7021823339999855,114,135.997953891,1786042179.6565218
180,0.02,0.0034840900916606188,1.8000000000000001e-06,9e-06,0.0002378039999939574,0.9809029869999222,106,143.268749388,1786042187.3344603
190,0.02,0.006409852299839258,1.9000000000000002e-06,9.5e-06,0.0002473600000030274,0.7336793489999991,109,150.676932507,1786042194.6053162
200,0.02,0.004339530598372221,2.0000000000000003e-06,1e-05,0.00023860399994646286,0.7006262719999086,104,157.768371093,1786042202.013621
210,0.02,0.0066917771473526955,2.1000000000000002e-06,1.05e-05,0.00024262100009764254,0.6957652289999032,110,165.130135163,1786042209.1050138
220,0.02,0.0058188848197460175,2.2e-06,1.1000000000000001e-05,0.0002607689999649665,0.6864777159998994,119,172.895201285,1786042216.4667053
230,0.03,0.005377733148634434,2.3000000000000004e-06,1.1500000000000002e-05,0.00023118799992971617,0.7052917110000863,111,180.194364543,1786042224.231835
240,0.03,0.007392500527203083,2.4000000000000003e-06,1.2e-05,0.000245900999971127,0.7224352890000318,113,187.342207639,1786042231.5310419
250,0.03,0.0023883285466581583,2.5e-06,1.25e-05,0.00022683400004552823,0.6850612320000664,111,194.879970217,1786042238.678845
260,0.03,0.002180685056373477,2.6e-06,1.3000000000000001e-05,0.00026529199999458797,0.9304866429999947,109,201.930842054,1786042246.2166176
270,0.03,0.006165335886180401,2.7000000000000004e-06,1.3500000000000001e-05,0.0003213329999880443,0.689859255999977,110,209.299855363,1786042253.2675
280,0.03,0.0022106224205344915,2.8000000000000003e-06,1.4000000000000001e-05,0.00026879799997914233,0.6997353739999426,107,216.497694324,1786042260.6365933
290,0.03,0.010459835641086102,2.9e-06,1.45e-05,0.00022794899996370077,0.7609907759999714,112,224.110090266,1786042267.834302
300,0.03,0.004111056681722403,3e-06,1.5e-05,0.00022379600000022037,0.8705809329999283,119,231.668831335,1786042275.4467175
310,0.03,0.002675444819033146,3.1000000000000004e-06,1.55e-05,0.0003271589999940261,0.7422224040000174,116,238.950065907,1786042283.0054092
320,0.04,0.00908710341900587,3.2000000000000003e-06,1.6000000000000003e-05,0.00023745900000449183,0.6849958359999846,107,245.981352277,1786042290.286742
330,0.04,0.0024532561656087637,3.3000000000000006e-06,1.65e-05,0.00044709300004797115,0.7058366929999238,115,253.389188311,1786042297.318002
340,0.04,0.007134622894227505,3.4000000000000005e-06,1.7000000000000003e-05,0.0002472539999871515,0.7260643550000623,110,260.791538944,1786042304.7258217
350,0.04,0.008609535172581673,3.5e-06,1.75e-05,0.00027385800001411553,0.6839514060000056,106,268.157901354,1786042312.1282072
360,0.04,0.007417920511215925,3.6000000000000003e-06,1.8e-05,0.00025609700003315083,0.7196719529999882,113,275.289074411,1786042319.4944198
370,0.04,0.013321626000106335,3.7e-06,1.85e-05,0.00023546700003862497,0.7045949810000138,105,283.116086702,1786042326.625665
380,0.04,0.00445890985429287,3.8000000000000005e-06,1.9e-05,0.00022116500008451112,0.8930632260000948,108,290.210796266,1786042334.4521978
390,0.04,0.004648557398468256,3.900000000000001e-06,1.9500000000000003e-05,0.00022251899997627334,0.6849966869999662,106,297.287722049,1786042341.5473325
400,0.05,0.007241114042699337,4.000000000000001e-06,2e-05,0.00023930999998356128,0.6865535009999348,109,304.67214054,1786042348.6244013
410,0.05,0.005397082306444645,4.1e-06,2.05e-05,0.00028424300001006486,0.6952134570000226,112,312.379937482,1786042356.0087097
420,0.05,0.005808880086988211,4.2000000000000004e-06,2.1e-05,0.00022170900001583504,0.6897842629999786,109,319.388673432,1786042363.716564
430,0.05,0.001605155528523028,4.3e-06,2.15e-05,0.00022576000003482477,0.7071290490000592,112,326.590464947,1786042370.7253385
440,0.05,0.006882015150040388,4.4e-06,2.2000000000000003e-05,0.00020353399997929955,0.7593264010000667,113,333.915317491,1786042377.9270966
450,0.05,0.0082518570125103,4.5e-06,2.25e-05,0.00019970599998941907,0.6841417199999569,109,341.79570432,1786042385.2518637
460,0.05,0.003997608087956905,4.600000000000001e-06,2.3000000000000003e-05,0.00026981700000305864,0.8899667449999242,111,349.155576513,1786042393.1323469
470,0.05,0.007927881553769112,4.7e-06,2.35e-05,0.0002896320000900232,0.7297443310000062,108,356.279553289,1786042400.4920864
480,0.05,0.002756768837571144,4.800000000000001e-06,2.4e-05,0.00022647600007985602,0.746915749999971,107,363.597750702,1786042407.6161625
490,0.06,0.0029158093966543674,4.9000000000000005e-06,2.45e-05,0.00021186399999351124,0.713307466999936,111,371.13661963,1786042414.934084
500,0.06,0.012005919590592384,5e-06,2.5e-05,0.0002090389999693798,0.7480952270000216,110,378.14469912,1786042422.4732265
510,0.06,0.006195669993758202,5.1e-06,2.5500000000000003e-05,0.0002554599999484708,0.7231136629999355,109,385.319624827,1786042429.4813771
520,0.06,0.003977126907557249,5.2e-06,2.6000000000000002e-05,0.00022505799995542475,0.7092003619999332,113,392.60920363,1786042436.656129
530,0.06,0.001681371359154582,5.300000000000001e-06,2.6500000000000004e-05,0.00024433299995507696,0.7098534889998973,104,400.226836326,1786042443.9458442
540,0.06,0.0013450576225295663,5.400000000000001e-06,2.7000000000000002e-05,0.00025393099997472746,0.7518001299999924,113,407.339617285,1786042451.563497
550,0.06,0.012269039638340473,5.500000000000001e-06,2.7500000000000004e-05,0.00024242699998922035,0.694616662000044,111,414.297398395,1786042458.6762993
560,0.06,0.017312539741396904,5.600000000000001e-06,2.8000000000000003e-05,0.00022419800006900914,0.7030341970000791,112,421.617126128,1786042465.63399
570,0.06,0.001759901875630021,5.7e-06,2.8499999999999998e-05,0.00028060700003607053,0.679667999000003,108,429.70246454,1786042472.9537942
580,0.07,0.010654645040631294,5.8e-06,2.9e-05,0.00025005899999541725,0.9391773950000015,111,436.876752558,1786042481.039094
590,0.07,0.01072590984404087,5.9e-06,2.95e-05,0.0002430660000527496,0.7238670759999195,117,443.872471558,1786042488.2133338
600,0.07,0.005123142618685961,6e-06,3e-05,0.00021695500004170754,0.6731480999999349,112,451.083352538,1786042495.2091348
610,0.07,0.0037819347344338894,6.1e-06,3.05e-05,0.0002178989999492842,0.6900547909999659,104,458.940589993,1786042502.4199777
620,0.07,0.008784034289419651,6.200000000000001e-06,3.1e-05,0.00021771199999420787,0.6789509239999916,108,466.053432562,1786042510.2769508
630,0.07,0.004568412899971008,6.300000000000001e-06,3.15e-05,0.000247861000048033,0.7290342750000036,115,473.271441001,1786042517.390032
640,0.07,0.005899259354919195,6.4000000000000006e-06,3.2000000000000005e-05,0.00022204800006875303,0.7312091810000538,110,480.392922362,1786042524.6080842
650,0.07,0.0039021815173327923,6.5000000000000004e-06,3.2500000000000004e-05,0.0002395759998989888,0.747658938000086,108,488.460144828,1786042531.7295415
660,0.07,0.0024358537048101425,6.600000000000001e-06,3.3e-05,0.0002077990000088903,0.679811407000102,116,495.589083574,1786042539.7967494
670,0.08,0.0027655053418129683,6.700000000000001e-06,3.35e-05,0.0002103099999430924,0.7077121549999674,107,502.626301561,1786042546.9258552
680,0.08,0.002543694106861949,6.800000000000001e-06,3.4000000000000007e-05,0.00022324400003981282,0.7003889610000442,114,509.953390313,1786042553.9628794
690,0.08,0.0030766043346375227,6.9e-06,3.45e-05,0.00023250800006735517,0.9383808250000811,110,517.936014476,1786042561.2900538
700,0.08,0.008776051923632622,7e-06,3.5e-05,0.00025121500004843256,0.7419511859999375,112,525.025616967,1786042569.2726746
710,0.08,0.006517680827528238,7.100000000000001e-06,3.55e-05,0.00023297299992464104,0.7140573679999989,115,532.044709879,1786042576.3621483
720,0.08,0.0037558649200946093,7.2000000000000005e-06,3.6e-05,0.00027821500009395095,0.7209249710000449,113,539.133929819,1786042583.3813496
730,0.08,0.0038961772806942463,7.3e-06,3.65e-05,0.00024457899996832566,0.7001864489999434,111,546.784112183,1786042590.4704888
740,0.08,0.0019705072045326233,7.4e-06,3.7e-05,0.000276841999948374,0.7146724460000087,109,553.904107347,1786042598.1207244
750,0.08,0.013323686085641384,7.500000000000001e-06,3.7500000000000003e-05,0.00027405399987401324,0.6810662450000109,115,560.985195,1786042605.2407224
760,0.09,0.001861063065007329,7.600000000000001e-06,3.8e-05,0.0002132289998826309,0.696721597000078,114,568.026477735,1786042612.3218625
770,0.09,0.005051119718700647,7.7e-06,3.85e-05,0.0004584629998589662,0.7230400789999294,112,576.158212078,1786042619.3630185
